Category: All categories

Region,skin lightening: (1/1/04 - 6/20/19)
Maryland,100
New York,98
Georgia,89
Florida,83
New Jersey,81
Mississippi,80
Hawaii,77
California,75
Texas,75
District of Columbia,70
Nevada,68
Louisiana,67
South Carolina,67
Virginia,64
Arizona,63
Connecticut,63
North Carolina,62
Alabama,61
New Mexico,60
Illinois,57
Massachusetts,57
Pennsylvania,53
Tennessee,51
Michigan,51
Washington,49
Minnesota,48
Oklahoma,46
Ohio,45
Kansas,43
Colorado,42
Arkansas,40
Missouri,40
Indiana,39
Kentucky,38
Oregon,36
Utah,33
Nebraska,33
Wisconsin,31
Iowa,27
Delaware,
Rhode Island,
North Dakota,
Alaska,
Idaho,
West Virginia,
Vermont,
Wyoming,
New Hampshire,
Montana,
South Dakota,
Maine,
