Category: All categories

Region,skin bleaching: (1/1/08 - 12/31/18)
Maryland,100
New York,94
Georgia,91
Mississippi,83
Louisiana,81
Florida,80
Nevada,78
District of Columbia,77
New Jersey,71
Texas,69
California,69
Alabama,68
South Carolina,67
North Carolina,62
Virginia,60
Arizona,59
Illinois,56
Massachusetts,56
Connecticut,56
Michigan,56
Pennsylvania,55
Rhode Island,55
Delaware,52
New Mexico,50
Arkansas,50
Tennessee,50
Ohio,49
Oklahoma,47
Kansas,46
Missouri,44
Kentucky,44
Minnesota,43
Indiana,41
Colorado,40
Washington,40
Nebraska,36
Utah,35
Wisconsin,33
Iowa,33
Oregon,31
Hawaii,
Alaska,
North Dakota,
Vermont,
West Virginia,
South Dakota,
New Hampshire,
Maine,
Idaho,
Montana,
Wyoming,
