Category: All categories

Region,skin lightening: (7/3/18 - 7/3/19)
New York,100
Maryland,94
Georgia,82
Florida,71
Mississippi,70
California,68
New Jersey,66
South Carolina,64
Nevada,61
Hawaii,61
Texas,61
Virginia,61
Louisiana,59
North Carolina,56
Alabama,56
Illinois,55
District of Columbia,53
Tennessee,49
Arizona,48
Massachusetts,48
Connecticut,47
Pennsylvania,45
Washington,43
Ohio,43
Minnesota,42
Michigan,40
Oklahoma,39
Oregon,37
Utah,36
Nebraska,36
Kansas,34
Colorado,33
Indiana,33
Arkansas,32
New Mexico,32
Iowa,32
Missouri,30
Kentucky,26
Wisconsin,20
Delaware,
Rhode Island,
North Dakota,
Alaska,
Vermont,
Idaho,
Maine,
New Hampshire,
West Virginia,
South Dakota,
Wyoming,
Montana,
